지수,거래일자,지수명,종가,전일비,전일비(%),KSP200지수,KSP200등락,
DJI@DJI,20030102,다우 산업                                                                       ,8607.52,265.89,3.18,80.72,0.85,1
DJI@DJI,20030103,다우 산업                                                                       ,8601.69,5.83,-0.06,84.15,3.43,1
DJI@DJI,20030106,다우 산업                                                                       ,8773.57,171.88,1.99,84.92,0.77,1
DJI@DJI,20030107,다우 산업                                                                       ,8740.59,32.98,-0.37,83.03,-1.89,1
DJI@DJI,20030108,다우 산업                                                                       ,8595.31,145.28,-1.66,82.97,-0.06,1
DJI@DJI,20030109,다우 산업                                                                       ,8776.18,180.87,2.1,80.04,-2.93,1
DJI@DJI,20030110,다우 산업                                                                       ,8784.89,8.71,0.09,79.93,-0.11,1
DJI@DJI,20030113,다우 산업                                                                       ,8785.98,1.09,0.01,82.58,2.65,1
DJI@DJI,20030114,다우 산업                                                                       ,8842.62,56.64,0.64,82.79,0.21,1
DJI@DJI,20030115,다우 산업                                                                       ,8723.18,119.44,-1.35,82.52,-0.27,1
DJI@DJI,20030116,다우 산업                                                                       ,8697.87,25.31,-0.29,82.58,0.06,1
DJI@DJI,20030117,다우 산업                                                                       ,8586.74,111.13,-1.27,80.96,-1.62,1
DJI@DJI,20030121,다우 산업                                                                       ,8442.9,143.84,-1.67,80.5,-0.22,1
DJI@DJI,20030122,다우 산업                                                                       ,8318.73,124.17,-1.47,79.23,-1.27,1
DJI@DJI,20030123,다우 산업                                                                       ,8369.47,50.74,0.6,79.57,0.34,1
DJI@DJI,20030124,다우 산업                                                                       ,8131.01,238.46,-2.84,77.54,-2.03,1
DJI@DJI,20030127,다우 산업                                                                       ,7989.56,141.45,-1.73,75.45,-2.09,1
DJI@DJI,20030128,다우 산업                                                                       ,8088.84,99.28,1.24,76.46,1.01,1
DJI@DJI,20030129,다우 산업                                                                       ,8110.71,21.87,0.27,74.15,-2.31,1
DJI@DJI,20030130,다우 산업                                                                       ,7945.13,165.58,-2.04,75.22,1.07,1
DJI@DJI,20030131,다우 산업                                                                       ,8053.81,108.68,1.36,0,0,1
DJI@DJI,20030203,다우 산업                                                                       ,8109.82,56.01,0.69,76.3,1.08,1
DJI@DJI,20030204,다우 산업                                                                       ,8013.29,96.53,-1.19,76.7,0.4,1
DJI@DJI,20030205,다우 산업                                                                       ,7985.18,28.11,-0.35,76.23,-0.47,1
DJI@DJI,20030206,다우 산업                                                                       ,7929.3,55.88,-0.69,74.74,-1.49,1
DJI@DJI,20030207,다우 산업                                                                       ,7864.23,65.07,-0.82,73.17,-1.57,1
DJI@DJI,20030210,다우 산업                                                                       ,7920.11,55.88,0.71,73.16,-0.01,1
DJI@DJI,20030211,다우 산업                                                                       ,7843.11,77,-0.97,73.01,-0.15,1
DJI@DJI,20030212,다우 산업                                                                       ,7758.17,84.94,-1.08,74.02,1.01,1
DJI@DJI,20030213,다우 산업                                                                       ,7749.87,8.3,-0.1,72.92,-1.1,1
DJI@DJI,20030214,다우 산업                                                                       ,7908.8,158.93,2.05,72.86,-0.06,1
DJI@DJI,20030218,다우 산업                                                                       ,8041.15,132.35,1.67,76.55,0.23,1
DJI@DJI,20030219,다우 산업                                                                       ,8000.6,40.55,-0.5,76.22,-0.33,1
DJI@DJI,20030220,다우 산업                                                                       ,7914.96,85.64,-1.07,76.89,0.67,1
DJI@DJI,20030221,다우 산업                                                                       ,8018.11,103.15,1.3,76.61,-0.28,1
DJI@DJI,20030224,다우 산업                                                                       ,7858.24,159.87,-1.99,78.32,1.71,1
DJI@DJI,20030225,다우 산업                                                                       ,7909.5,51.26,0.65,75.13,-3.19,1
DJI@DJI,20030226,다우 산업                                                                       ,7806.98,102.52,-1.29,74.83,-0.3,1
DJI@DJI,20030227,다우 산업                                                                       ,7884.99,78.01,0.99,73.8,-1.03,1
DJI@DJI,20030228,다우 산업                                                                       ,7891.08,6.09,0.07,72.85,-0.95,1
DJI@DJI,20030303,다우 산업                                                                       ,7837.86,53.22,-0.67,74.87,2.02,1
DJI@DJI,20030304,다우 산업                                                                       ,7704.87,132.99,-1.69,73.07,-1.8,1
DJI@DJI,20030305,다우 산업                                                                       ,7775.6,70.73,0.91,70.95,-2.12,1
DJI@DJI,20030306,다우 산업                                                                       ,7673.99,101.61,-1.3,70.37,-0.58,1
DJI@DJI,20030307,다우 산업                                                                       ,7740.03,66.04,0.86,69.33,-1.04,1
DJI@DJI,20030310,다우 산업                                                                       ,7568.18,171.85,-2.22,69.26,-0.07,1
DJI@DJI,20030311,다우 산업                                                                       ,7524.06,44.12,-0.58,67.79,-1.47,1
DJI@DJI,20030312,다우 산업                                                                       ,7552.07,28.01,0.37,67.65,-0.14,1
DJI@DJI,20030313,다우 산업                                                                       ,7821.75,269.68,3.57,67.84,0.19,1
DJI@DJI,20030314,다우 산업                                                                       ,7859.71,37.96,0.48,68.51,0.67,1
DJI@DJI,20030317,다우 산업                                                                       ,8141.92,282.21,3.59,65.64,-2.87,1
DJI@DJI,20030318,다우 산업                                                                       ,8194.23,52.31,0.64,68.49,2.85,1
DJI@DJI,20030319,다우 산업                                                                       ,8265.45,71.22,0.86,69.05,0.56,1
DJI@DJI,20030320,다우 산업                                                                       ,8286.6,21.15,0.25,72.4,3.35,1
DJI@DJI,20030321,다우 산업                                                                       ,8521.97,235.37,2.84,73.37,0.97,1
DJI@DJI,20030324,다우 산업                                                                       ,8214.68,307.29,-3.6,72.58,-0.79,1
DJI@DJI,20030325,다우 산업                                                                       ,8280.23,65.55,0.79,70.7,-1.88,1
DJI@DJI,20030326,다우 산업                                                                       ,8229.88,50.35,-0.6,70.58,-0.12,1
DJI@DJI,20030327,다우 산업                                                                       ,8201.45,28.43,-0.34,69.82,-0.76,1
DJI@DJI,20030328,다우 산업                                                                       ,8145.77,55.68,-0.67,70.77,0.95,1
DJI@DJI,20030331,다우 산업                                                                       ,7992.13,153.64,-1.88,68.05,-2.72,1
DJI@DJI,20030401,다우 산업                                                                       ,8069.86,77.73,0.97,68.4,0.35,1
DJI@DJI,20030402,다우 산업                                                                       ,8285.06,215.2,2.66,69,0.6,1
DJI@DJI,20030403,다우 산업                                                                       ,8240.38,44.68,-0.53,69.28,0.28,1
DJI@DJI,20030404,다우 산업                                                                       ,8277.15,36.77,0.44,70.99,1.71,1
DJI@DJI,20030407,다우 산업                                                                       ,8300.41,23.26,0.28,74.63,3.64,1
DJI@DJI,20030408,다우 산업                                                                       ,8298.92,1.49,-0.01,74.83,0.2,1
DJI@DJI,20030409,다우 산업                                                                       ,8197.94,100.98,-1.21,72.45,-2.38,1
DJI@DJI,20030410,다우 산업                                                                       ,8221.33,23.39,0.28,73.56,1.11,1
DJI@DJI,20030411,다우 산업                                                                       ,8203.41,17.92,-0.21,74.22,0.66,1
DJI@DJI,20030414,다우 산업                                                                       ,8351.1,147.69,1.8,75.75,1.53,1
DJI@DJI,20030415,다우 산업                                                                       ,8402.36,51.26,0.61,77.13,1.38,1
DJI@DJI,20030416,다우 산업                                                                       ,8257.61,144.75,-1.72,79.26,2.13,1
DJI@DJI,20030417,다우 산업                                                                       ,8337.65,80.04,0.96,78.11,-1.15,1
DJI@DJI,20030421,다우 산업                                                                       ,8328.9,8.75,-0.1,79.06,-0.61,1
DJI@DJI,20030422,다우 산업                                                                       ,8484.99,156.09,1.87,76.71,-2.35,1
DJI@DJI,20030423,다우 산업                                                                       ,8515.66,30.67,0.36,76.06,-0.65,1
DJI@DJI,20030424,다우 산업                                                                       ,8440.04,75.62,-0.88,74.79,-1.27,1
DJI@DJI,20030425,다우 산업                                                                       ,8306.35,133.69,-1.58,72.07,-2.72,1
DJI@DJI,20030428,다우 산업                                                                       ,8471.61,165.26,1.98,72.41,0.34,1
DJI@DJI,20030429,다우 산업                                                                       ,8502.99,31.38,0.37,76.15,3.74,1
DJI@DJI,20030430,다우 산업                                                                       ,8480.09,22.9,-0.26,76.45,0.3,1
DJI@DJI,20030501,다우 산업                                                                       ,8454.25,25.84,-0.3,0,0,1
DJI@DJI,20030502,다우 산업                                                                       ,8582.68,128.43,1.51,76.12,-0.33,1
DJI@DJI,20030505,다우 산업                                                                       ,8531.57,51.11,-0.59,0,0,1
DJI@DJI,20030506,다우 산업                                                                       ,8588.36,56.79,0.66,77.01,0.89,1
DJI@DJI,20030507,다우 산업                                                                       ,8560.63,27.73,-0.32,78.85,1.84,1
DJI@DJI,20030508,다우 산업                                                                       ,8491.22,69.41,-0.81,0,0,1
DJI@DJI,20030509,다우 산업                                                                       ,8604.6,113.38,1.33,78.9,0.05,1
DJI@DJI,20030512,다우 산업                                                                       ,8726.73,122.13,1.41,80.45,1.55,1
DJI@DJI,20030513,다우 산업                                                                       ,8679.25,47.48,-0.54,78.19,-2.26,1
DJI@DJI,20030514,다우 산업                                                                       ,8647.82,31.43,-0.36,77.57,-0.62,1
DJI@DJI,20030515,다우 산업                                                                       ,8713.14,65.32,0.75,78.8,1.23,1
